name,axis,serialization,retrieval,prompt,query_representation,accuracy_pct,correct,total,total_time_s,avg_time_s,status
stage3__k3__t030,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.97,132,259,378.52,1.461,ok
stage3__k3__t035,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.9,137,259,401.81,1.551,ok
stage3__k3__t040,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.19,130,259,964.92,3.725,ok
stage3__k3__t045,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.58,131,259,325.55,1.257,ok
stage3__k3__t050,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.58,131,259,351.1,1.356,ok
stage3__k3__t055,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.19,130,259,358.6,1.385,ok
stage3__k3__t060,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.42,128,259,280.68,1.084,ok
stage3__k3__t065,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.9,137,259,289.17,1.116,ok
stage3__k3__t070,k3,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.81,129,259,312.94,1.208,ok
stage3__k5__t030,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,54.05,140,259,319.5,1.234,ok
stage3__k5__t035,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,55.98,145,259,318.96,1.231,ok
stage3__k5__t040,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,54.44,141,259,310.53,1.199,ok
stage3__k5__t045,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,55.98,145,259,317.23,1.225,ok
stage3__k5__t050,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,54.05,140,259,313.87,1.212,ok
stage3__k5__t055,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.12,135,259,312.5,1.207,ok
stage3__k5__t060,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.9,137,259,292.02,1.127,ok
stage3__k5__t065,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.51,136,259,304.23,1.175,ok
stage3__k5__t070,k5,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.42,128,259,279.32,1.078,ok
stage3__k7__t030,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,54.44,141,259,291.3,1.125,ok
stage3__k7__t035,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,53.28,138,259,1773.89,6.849,ok
stage3__k7__t040,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,53.28,138,259,2158.34,8.333,ok
stage3__k7__t045,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.9,137,259,2176.82,8.405,ok
stage3__k7__t050,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.97,132,259,2155.24,8.321,ok
stage3__k7__t055,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.19,130,259,2048.45,7.909,ok
stage3__k7__t060,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,52.51,136,259,2154.34,8.318,ok
stage3__k7__t065,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.19,130,259,2155.75,8.323,ok
stage3__k7__t070,k7,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,45.95,119,259,2096.8,8.096,ok
stage3__k10__t030,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.42,128,259,2095.73,8.092,ok
stage3__k10__t035,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,50.19,130,259,2151.53,8.307,ok
stage3__k10__t040,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.42,128,259,2144.95,8.282,ok
stage3__k10__t045,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,48.26,125,259,2076.14,8.016,ok
stage3__k10__t050,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.81,129,259,2165.8,8.362,ok
stage3__k10__t055,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,49.42,128,259,2144.58,8.28,ok
stage3__k10__t060,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,48.26,125,259,2093.99,8.085,ok
stage3__k10__t065,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,47.88,124,259,2141.23,8.267,ok
stage3__k10__t070,k10,kv_pairs,score_threshold,raw_stuffing,question_plus_choices,47.1,122,259,2093.38,8.083,ok
